Taxonomy_Substrate_Functional_Group,MCR_Group,Course_FG,Functional_Group,Macroalgae_Group,Algal_Form,Family,Notes,,,,,
Acanthophora spicifera,Macroalgae,Macroalgae,Macroalgae,Red Algae,Corticated,Rhodomelaceae,,,,,,
Actinotrichia fragilis,Macroalgae,Macroalgae,Macroalgae,Red Algae,Calcified,Galaxauraceae,,,,,,
Algal Turf,Algal Turf,Algal Turf,Algal Turf,Algal Turf,Algal Turf,,,,,,,
Amansia rhodantha,Macroalgae,Macroalgae,Macroalgae,Red Algae,Foliose,Rhodomelaceae,,,,,,
Amphiroa fragilissima,Macroalgae,Macroalgae,Macroalgae,Red Algae,Calcified,Lithophyllaceae,red algae,Corallinaceae,,,,
Ascidian,Sessile Invertebrates,Sessile Invertebrates,Sessile Invertebrates,,,,,,,,,
Asparagopsis taxiformis,Macroalgae,Macroalgae,Macroalgae,Red Algae,Corticated,Bonnemaisoniales,,,,,,
Bare Space,Bare Space,Substrate,Substrate,,,,,,,,,
Boodlea kaeneana,Macroalgae,Macroalgae,Macroalgae,Green Algae,Filamentous,Siphonocladaceae,,,,,,
Caulerpa peltata,Macroalgae,Macroalgae,Macroalgae,Green Algae,Vesicular,Caulerpaceae,,,,,,
Caulerpa pickeringii,Macroalgae,Macroalgae,Macroalgae,Green Algae,Vesicular,Caulerpaceae,,,,,,
Caulerpa racemosa,Macroalgae,Macroalgae,Macroalgae,Green Algae,Vesicular,Caulerpaceae,,,,,,
Caulerpa serrulata,Macroalgae,Macroalgae,Macroalgae,Green Algae,Leathery,Caulerpaceae,,,,,,
Chaetomorpha antennina,Macroalgae,Macroalgae,Macroalgae,Green Algae,Filamentous,Cladophoraceae,,,,,,
Chlorodesmis fastigiata,Macroalgae,Macroalgae,Macroalgae,Green Algae,Filamentous,Udoteaceae,,,,,,
Chnoospora implexa,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Corticated,Scytosiphonaceae,,,,,,
Cladophoropsis luxurians,Macroalgae,Macroalgae,Macroalgae,Green Algae,Filamentous,Boodleaceae,,Siphonocladaceae,,,,
Cladophoropsis membranacea,Macroalgae,Macroalgae,Macroalgae,Green Algae,Filamentous,Boodleaceae,Algal Turf,Siphonocladaceae,,,,
Codium geppiorum,Macroalgae,Macroalgae,Macroalgae,Green Algae,Calcified,Codiaceae,,,,,,
Coelothrix irregularis,Macroalgae,Macroalgae,Macroalgae,Red Algae,Corticated,Champiaceae,,,,,,
Colpomenia sinuosa,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Hollow_Mucilaginous,Scytosiphonaceae,,,,,,
Coral,Coral,Coral,Coral,,,,,,,,,
Coral Rubble,Coral Rubble,Substrate,Substrate,,,,,,,,,
Corallimorpharia,Scleractinian Corals,Coral,Coral,,,,,,,,,
Crustose Corallines,CCA,CCA,CCA,CCA,CCA,,,,,,,
Cyanophyta,Cyanophyta,Cyanophyta,Macroalgae,Cyanophyta,Microalgae,,Blue_Green_Algae,,,,,
Damselfish Turf,Algal Turf,Algal Turf,Algal Turf,,Algal Turf,,,,,,,
Dichotomaria marginata,Macroalgae,Macroalgae,Macroalgae,Red Algae,Calcified,Galaxauraceae,,,,,,
Dichotomaria obtusata,Macroalgae,Macroalgae,Macroalgae,Red Algae,Calcified,Galaxauraceae,,,,,,
Dictyosphaeria cavernosa,Macroalgae,Macroalgae,Macroalgae,Green Algae,Vesicular,Siphonocladaceae,,Valoniaceae,,,,
Dictyosphaeria versluysii,Macroalgae,Macroalgae,Macroalgae,Green Algae,,Siphonocladaceae,,Valoniaceae,,,,
Dictyota bartayresiana,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Foliose,Dictyotaceae,,,,,,
Dictyota divaricata,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Foliose,Dictyotaceae,,,,,,
Dictyota friabilis,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Foliose,Dictyotaceae,,,,,,
Dictyota hamifera,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Foliose,Dictyotaceae,,,,,,
Dictyota implexa,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Foliose,Dictyotaceae,,,,,,
Dictyota sp.,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Foliose,Dictyotaceae,,,,,,
Galaxaura filamentosa,Macroalgae,Macroalgae,Macroalgae,Red Algae,Calcified,Galaxauraceae,,,,,,
Galaxaura rugosa,Macroalgae,Macroalgae,Macroalgae,Red Algae,Calcified,Galaxauraceae,,,,,,
Galaxaura sp.,Macroalgae,Macroalgae,Macroalgae,Red Algae,Calcified,Galaxauraceae,,,,,,
Gelidiella acerosa,Macroalgae,Macroalgae,Macroalgae,Red Algae,,Gelidiellaceae,,,,,,
Gelidiella sp.,Macroalgae,Macroalgae,Macroalgae,Red Algae,,Gelidiellaceae,,,,,,
Gibsmithia hawaiiensis,Macroalgae,Macroalgae,Macroalgae,Red Algae,,Dumontiaceae,,,,,,
Halimeda discoidea,Macroalgae,Macroalgae,Macroalgae,Green Algae,Calcified,Halimedaceae,,,,,,
Halimeda distorta,Macroalgae,Macroalgae,Macroalgae,Green Algae,Calcified,Halimedaceae,,,,,,
Halimeda incrassata,Macroalgae,Macroalgae,Macroalgae,Green Algae,Calcified,Halimedaceae,,,,,,
Halimeda macroloba,Macroalgae,Macroalgae,Macroalgae,Green Algae,Calcified,Halimedaceae,,,,,,
Halimeda minima,Macroalgae,Macroalgae,Macroalgae,Green Algae,Calcified,Halimedaceae,,,,,,
Halimeda opuntia,Macroalgae,Macroalgae,Macroalgae,Green Algae,Calcified,Halimedaceae,,,,,,
Halimeda sp.,Macroalgae,Macroalgae,Macroalgae,Green Algae,Calcified,Halimedaceae,,,,,,
Halimeda taenicola,Macroalgae,Macroalgae,Macroalgae,Green Algae,Calcified,Halimedaceae,,,,,,
Heteractis sp.,Sessile Invertebrates,Sessile Invertebrates,Sessile Invertebrates,,,,,,,,,
Hydroclathrus clathratus,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Mucilagnious,Scytosiphonaceae,,,,,,
Hypnea spinella,Macroalgae,Macroalgae,Macroalgae,Red Algae,,Cystocloniaceae,,,,,,
Jania sp.,CCA,CCA,CCA,CCA,,Corallinoideae,Red Algae,Corallinaceae,,,,
Liagora ceranoides,Macroalgae,Macroalgae,Macroalgae,Red Algae,,Liagoraceae,,,,,,
Lithophyllum kotschyanum,CCA,CCA,CCA,CCA,CCA,Lithophyllaceae,,,,,,
Lobophora variegata,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Coriaceous,Dictyotaceae,,,,,,
Martensia elegans,Macroalgae,Macroalgae,Macroalgae,CCA,CCA,Delesseriaceae,Red Algae,,,,,
Microdictyon okamurae,Macroalgae,Macroalgae,Macroalgae,Green Algae,,Anadyomenaceae,,,,,,
Microdictyon umbilicatum,Macroalgae,Macroalgae,Macroalgae,Green Algae,,Anadyomenaceae,,,,,,
Millepora platyphylla,Millepora,Millepora,Coral,,,,Fire Coral,,,,,
Neogoniolithon frutescens,CCA,CCA,CCA,CCA,CCA,Spongitaceae,,Lithophyllaceae,,,,
Neomeris vanbosseae,Macroalgae,Macroalgae,Macroalgae,Green Algae,,Dasycladaceae,Ulvophyceae,,,,,
No data,NA,NA,NA,,,,,,,,,
Padina boryana,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Coriaceous,Dictyotaceae,,,,,,
Peyssonnelia bornetii,CCA,CCA,CCA,Red Algae,Coriaceous,Peyssonneliaceae,,,,,,
Peyssonnelia inamoena,CCA,CCA,CCA,Red Algae,Coriaceous,Peyssonneliaceae,,,,,,
Peyssonnelia sp.,CCA,CCA,CCA,Red Algae,Coriaceous,Peyssonneliaceae,,,,,,
Phormidium sp.,Cyanophyta,Cyanophyta,Macroalgae,Cyanophyta,Microalgae,,Cyanobacteria,,,,,
Phyllodictyon anastomosans,Macroalgae,Macroalgae,Macroalgae,Green Algae,Filamentous,Boodleaceae,,,,,,
Ralfsia sp.,CCA,CCA,CCA,CCA,CCA,Ralfsiaceae,,,,,,
Rhipidosiphon javensis,Macroalgae,Macroalgae,Macroalgae,Green Algae,Calcified,Udoteaceae,,,,,,
Sand,Sand,Substrate,Substrate,,,,,,,,,
Sarcophyton sp.,Scleractinian Corals,Coral,Coral,,,,,,,,,
Sargassum pacificum,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Coriaceous,Sargassaceae,,,,,,
Shell Debris,Shell Debris,Substrate,Substrate,,,,,,,,,
Soft Coral,Soft Coral,Coral,Coral,,,,,,,,,
Sponge,Sessile Invertebrates,Sessile Invertebrates,Sessile Invertebrates,,,,,,,,,
Sporolithon sp.,CCA,CCA,CCA,CCA,CCA,Sporolithales,Red Algae,,,,,
Symploca hydnoides,Cyanophyta,Cyanophyta,Macroalgae,Cyanophyta,Microalgae,Microcoleaceae,Cyanobacteria,,,,,
Tridacna sp.,Sessile Invertebrates,Sessile Invertebrates,Sessile Invertebrates,,,,,,,,,
Turbinaria ornata,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Coriaceous,Sargassaceae,,,,,,
Valonia aegagropila,Macroalgae,Macroalgae,Macroalgae,Green Algae,Vesicular,Valoniaceae,,,,,,
Valonia ventricosa,Macroalgae,Macroalgae,Macroalgae,Green Algae,Vesicular,Valoniaceae,,,,,,